figi,ticker,name,uid
BBG000VH7TZ8,MRKC,Россети Центр,e79680ec-c32b-4b14-bf6f-8ef6e143a41b
TCS00A103X66,POSI,Positive Technologies,de08affe-4fbd-454e-9fd1-46a81b23f870
BBG00475JZZ6,FEES,ФСК Россети,88e130e8-5b68-4b05-b9ae-baf32f5a3f21
BBG000NLB2G3,KROT,Красный Октябрь,14d147b9-d977-438a-80c0-441e5589da30
BBG002B9MYC1,KAZT,КуйбышевАзот,31defde8-cdc3-42bb-96bd-e2b42e825b62
BBG0014PFYM2,RUGR,Русгрэйн,7c9454d0-af4a-4380-82d5-394ee7c9b037
BBG000MZL0Y6,PMSB,Пермэнергосбыт,4d8209f9-3b75-437d-ad5f-2906d56f27e9
BBG003BNWBP3,PRFN,ЧЗПСН,378e3f3f-79f4-4b1f-8631-ca0222410cf4
BBG004S684M6,SIBN,Газпром нефть,9ba367af-dfbd-4d9c-8730-4b1d5a47756e
BBG002B298N6,YAKG,ЯТЭК,6e24431b-12fc-423b-b566-f2919ebd5a53
BBG000Q7GG57,TGKB,ТГК-2,ba9b6eb4-614c-4be8-bdba-dd86cdfece64
BBG000DBD6F6,KLSB,Калужская сбытовая компания,8a23dd3b-04bb-41f3-a531-1bc3c08deecf
BBG000RP8V70,CHMK,ЧМК,b5e26096-d013-48e4-b2a9-2f38b6090feb
BBG00F9XX7H4,RNFT,РуссНефть,c7485564-ed92-45fd-a724-1214aa202904
BBG004S687G6,MSRS,МОЭСК,019029c2-6634-4536-a980-389575e09b74
BBG000TJ6F42,MRKZ,Россети Северо-Запад,05dbfebd-6bc4-4645-8f21-dcf05476999d
BBG000K3STR7,APTK,"Аптечная сеть 36,6",bba7a33f-48a8-4788-8469-3a9f5d668e0a
BBG005D1WCQ1,QIWI,QIWI,120a928b-b2d6-45d7-a445-f6e49614ae6d
BBG004S68473,IRAO,Интер РАО ЕЭС,2dfbc1fd-b92a-436e-b011-928c79e805f2
BBG00475K2X9,HYDR,РусГидро,62560f05-3fd0-4d65-88f0-a27f249cc6de
BBG002BCQK67,NSVZ,Наука-Связь,88c3b1dd-cf86-48b6-b479-464ce1149472
BBG004S681B4,NLMK,НЛМК,161eb0d0-aaac-4451-b374-f5d0eeb1b508
BBG000TY1CD1,BELU,Белуга Групп ПАО ао,974077c4-d893-4058-9314-8f1b64a444b8
BBG000RTHVK7,GCHE,Группа Черкизово,231e5e27-9956-47e7-ad50-6e802e4a92ed
BBG000SR0YS4,LNZLP,Лензолото - привилегированные акции,28fdec79-fcf0-40cb-b53c-586179f024e5
BBG00QPYJ5H0,TCSG,TCS Group,6afa6f80-03a7-4d83-9cf0-c19d7d021f76
BBG004S681M2,SNGSP,Сургутнефтегаз - привилегированные акции,a797f14a-8513-4b84-b15e-a3b98dc4cc00
BBG006L8G4H1,YNDX,Yandex,10e17a87-3bce-4a1f-9dfc-720396f98a3c
BBG003LYCMB1,SFIN,ЭсЭфАй,55371b1f-8f7c-4c12-9d93-386fae5ec12a
BBG000QF1Q17,FESH,ДВМП,11bc2246-6fde-4478-93f1-4ab90ceb4a51
BBG004S68696,RASP,Распадская,435107a9-a262-4a31-8a9b-2ee6f81c1184
BBG00475KKY8,NVTK,НОВАТЭК,0da66728-6c30-44c4-9264-df8fac2467ee
BBG002YFXL29,UNKL,ЮУНК,69e56041-ddab-4151-9832-e0a1e9f83a42
BBG000GQSRR5,NKNC,Нижнекамскнефтехим,7fad3575-99ca-4b36-807c-9c7c37e64b29
BBG000W325F7,AQUA,ИНАРКТИКА,b83ab195-dcd2-4d44-b9bf-27fa294f19a0
BBG000BX7DH0,VRSB,ТНС энерго Воронеж,3c899002-e8f5-42fd-b617-4bc2f31e6767
BBG0100R9963,SGZH,Сегежа,7bedd86b-478d-4742-a28c-29d27f8dbc7d
BBG000NLCCM3,LSNGP,Ленэнерго - акции привилегированные,698d1493-f1f7-4eff-a4d1-2e509c77bfb8
BBG004731489,GMKN,Норильский никель,509edd0c-129c-4ee2-934d-7f6246126da1
BBG004730JJ5,MOEX,Московская Биржа,5e1c2634-afc4-4e50-ad6d-f78fc14a539a
BBG004S686W0,UPRO,Юнипро,664921c5-b552-47a6-9ced-8735a3c6ca8a
BBG000VJMH65,MRKS,МРСК Сибири,b135075c-3a05-42cf-8f55-86674d63a49d
BBG004Z2RGW8,ROLO,Русолово,eb05ebd4-a216-434b-bddd-69531f120ec9
BBG004S687W8,MSNG,Мосэнерго,98fc1318-6990-4147-b0d1-b10999326461
BBG004S68614,AFKS,АФК Система,53b67587-96eb-4b41-8e0c-d2e3c0bdd234
BBG0136BTL03,SFTL,Noventiq ГДР,705ba115-f427-49c5-96e4-8cd04623b2ad
BBG000R607Y3,PLZL,Полюс,10620843-28ce-44e8-80c2-f26ceb1bd3e1
BBG00Y91R9T3,OZON,Ozon Holdings PLC,35fb8d6b-ed5f-45ca-b383-c4e3752c9a8a
BBG004731032,LKOH,ЛУКОЙЛ,02cfdf61-6298-4c0f-a9ca-9cabc82afaf3
BBG000RK52V1,OGKB,Вторая генерирующая компания оптового рынка электроэнергии,3d8f2777-4a11-4713-af60-8038d11e66fa
BBG000VFX6Y4,GLTR,Globaltrans Investment PLC,2c0e65d1-d8da-477c-a438-ac41bb132e25
BBG002B9T6Y1,KAZTP,КуйбышевАзот - Акции привилегированные,3240b205-4718-47d2-8650-8bdc89533fd8
BBG004S68BR5,NMTP,НМТП,93ed8e88-2de2-4aec-a920-3384d24ecb2a
BBG000QFH687,TGKA,ТГК-1,d74daf58-22c3-4e44-8ada-471e404fb795
BBG0047315D0,SNGS,Сургутнефтегаз,1ffe1bff-d7b7-4b04-b482-34dc9cc0a4ba
BBG009GSYN76,CBOM,МКБ,ebfda284-4291-4337-9dfb-f55610d0a907
BBG000RJWGC4,AMEZ,Ашинский метзавод,08da2447-0dc4-433d-a2f3-627382208695
BBG000Q7GJ60,TGKBP,ТГК-2 - акции привилегированные,45609688-b63e-42dd-88a0-9d30c423c5e5
BBG002W2FT69,ABRD,АбрауДюрсо,926fdfbf-4b07-47c9-8928-f49858ca33f2
BBG0027F0Y27,CNTLP,Центральный Телеграф - акции привилегированные,1fae90d9-fb73-4c28-bdc0-11f47f991a05
BBG004S68BH6,PIKK,ПИК,03d5e771-fc10-438e-8892-85a40733612d
BBG004731354,ROSN,Роснефть,fd417230-19cf-4e7b-9623-f7c9ca18ec6b
BBG004S68FR6,MTLRP,Мечел - Привилегированные акции,c1a3c440-f51c-4a75-a400-42a2a74f5f2b
BBG004TC84Z8,TRMK,Трубная Металлургическая Компания,278d9ccc-4dde-484e-bf79-49ce8f733470
BBG000VKG4R5,MRKU,МРСК Урала,1b64e38a-49ad-4f4d-a4d3-b34184899352
BBG000C7P5M7,MRKY,МРСК Юга,c41a8e78-e4ee-4aa1-869a-9eff103b260a
BBG002B2J5X0,KRKNP,Саратовский НПЗ - акции привилегированные,6891e539-6070-4ba6-99c0-7eb1df9c816e
BBG00475K6C3,CHMF,Северсталь,fa6aae10-b8d5-48c8-bbfd-d320d925d096
BBG000N16BP3,ISKJ,ИСКЧ,6c97b684-ae84-435c-96fd-e20dc9197999
